branchNo,branch_fbus,branch_tbus,branch_b,branch_rateA,branch_rateC
119, 839, 3918, -476.1905, 756, 0
120, 839, 809, -322.5806, 1282, 0
121, 4506, 2286, -31.4465, 376, 0
122, 4506, 6802, -129.8701, 338, 0
123, 4506, 3520, -35.9712, 300, 0
124, 7273, 6271, -30.2115, 281, 0
125, 7273, 1435, -22.4719, 0, 0
126, 7273, 7148, -12.9199, 338, 0
127, 7273, 7437, -21.3220, 357, 0
128, 6104, 871, -384.6154, 357, 0
129, 7580, 871, -416.6667, 0, 0
130, 1188, 1539, -14.9254, 281, 0
131, 1188, 8515, -17.7936, 281, 0
132, 3971, 4084, -588.2353, 0, 0
133, 3971, 4084, -588.2353, 0, 0
134, 6845, 5340, -2500.0000, 0, 0
135, 8294, 5814, -192.3077, 0, 0
136, 7115, 6807, -107.5269, 319, 0
137, 619, 6791, -1428.5714, 0, 0
138, 5418, 4908, -1250.0000, 0, 0
139, 5120, 6816, -71.4286, 300, 0
140, 6692, 9158, -30.1205, 281, 0
141, 6692, 8035, -31.9489, 300, 0
142, 3445, 2848, -149.2537, 1480, 0
143, 3445, 7056, -131.5789, 1414, 0
144, 3445, 7056, -163.9344, 821, 0
145, 3445, 1642, -55.8659, 0, 0
146, 3445, 4594, -208.3333, 1545, 0
147, 6114, 1692, -238.0952, 338, 0
148, 6114, 8190, -232.5581, 0, 0
149, 6114, 5836, -48.7805, 472, 0
150, 6114, 3191, -59.1716, 510, 0
151, 6114, 5300, -70.9220, 0, 0
152, 6114, 4889, -24.5098, 357, 0
153, 7264, 444, -60.9756, 453, 0
154, 7264, 4747, -64.5161, 0, 0
155, 7982, 9011, -833.3333, 472, 0
156, 7982, 6675, -625.0000, 453, 0
157, 7982, 6909, -909.0909, 376, 0
158, 7982, 8835, -312.5000, 472, 0
159, 7982, 4186, -833.3333, 0, 0
160, 1604, 502, -714.2857, 376, 0
161, 2842, 502, -625.0000, 338, 0
162, 1354, 513, -121.9512, 281, 0
163, 1354, 502, -200.0000, 491, 0
164, 891, 3697, -217.3913, 1809, 0
165, 891, 3697, -222.2222, 1776, 0
166, 8312, 7541, -100.0000, 1348, 0
167, 8312, 7541, -98.0392, 986, 0
168, 6306, 4826, -2500.0000, 529, 0
169, 4826, 4418, -2000.0000, 0, 0
170, 4826, 1605, -3333.3333, 0, 0
171, 4826, 6952, -51.5464, 433, 0
172, 4826, 7124, -15.5763, 414, 0
173, 9128, 217, -357.1429, 357, 0
174, 7014, 217, -256.4103, 0, 0
175, 720, 5350, -56.1798, 1183, 0
176, 720, 5350, -54.9451, 1151, 0
177, 1711, 639, -88.4956, 376, 0
178, 1711, 639, -86.9565, 395, 0
179, 1711, 9130, -97.0874, 414, 0
180, 1711, 9130, -82.6446, 453, 0
181, 8209, 1998, -2000.0000, 0, 0
182, 8209, 7974, -714.2857, 0, 0
183, 1035, 8180, -62.5000, 0, 0
184, 1035, 7466, -17.6678, 357, 0
185, 1035, 305, -227.2727, 300, 0
186, 1035, 305, -222.2222, 281, 0
187, 1035, 5106, -112.3596, 453, 0
188, 1035, 5106, -142.8571, 491, 0
189, 2527, 8466, -185.1852, 433, 0
190, 8669, 8893, -357.1429, 357, 0
191, 6206, 7691, -53.1915, 1315, 0
192, 6206, 6624, -69.9301, 1545, 0
193, 3240, 8158, -138.8889, 338, 0
194, 3240, 8795, -42.0168, 300, 0
195, 3240, 4143, -232.5581, 0, 0
196, 3240, 2797, -30.4878, 453, 0
197, 3240, 6331, -86.9565, 338, 0
198, 3240, 6384, -90.9091, 376, 0
199, 3240, 7523, -108.6957, 319, 0
200, 3240, 2889, -434.7826, 0, 0
201, 3240, 6887, -55.5556, 472, 0
202, 1249, 4541, -140.8451, 1216, 0
203, 819, 7523, -294.1176, 0, 0
204, 2304, 4353, -123.4568, 338, 0
205, 2304, 4816, -69.4444, 491, 0
206, 9174, 6246, -119.0476, 1151, 0
207, 9174, 6246, -116.2791, 1085, 0
208, 9174, 5658, -75.1880, 1677, 0
209, 9174, 5658, -62.5000, 1249, 0
210, 2924, 3645, -500.0000, 0, 0
211, 2924, 3645, -500.0000, 0, 0
212, 59, 5764, -50.7614, 472, 0
213, 59, 2360, -57.8035, 529, 0
214, 6510, 9033, -909.0909, 395, 0
215, 6510, 5918, -71.4286, 395, 0
216, 6510, 5918, -80.0000, 433, 0
217, 1275, 2850, -243.9024, 0, 0
218, 6426, 4110, -28.5714, 0, 0
219, 6426, 3558, -32.6797, 0, 0
220, 1758, 2816, -161.2903, 0, 0
221, 1758, 352, -138.8889, 1743, 0
222, 1758, 6581, -128.2051, 854, 0
223, 1758, 1923, -57.8035, 723, 0
224, 1758, 5837, -87.7193, 0, 0
225, 1758, 3830, -53.1915, 1151, 0
226, 1758, 3577, -263.1579, 756, 0
227, 8030, 1794, -153.8462, 1447, 0
228, 8030, 7808, -151.5152, 0, 0
229, 8030, 6581, -131.5789, 854, 0
230, 8030, 1923, -62.5000, 821, 0
231, 8030, 5837, -86.2069, 0, 0
232, 8030, 5648, -54.3478, 1249, 0
233, 8030, 3577, -263.1579, 854, 0
234, 4615, 171, -82.6446, 395, 0
235, 3137, 2341, -2500.0000, 0, 0
236, 6271, 8787, -40.4858, 319, 0
237, 6252, 9137, -24.1546, 433, 0
238, 5533, 7133, -69.9301, 338, 0
239, 8361, 4355, -2500.0000, 281, 0
240, 8361, 2928, -1000.0000, 357, 0
241, 609, 1341, -58.1395, 376, 0
242, 609, 5419, -250.0000, 395, 0
243, 609, 5419, -243.9024, 395, 0
244, 609, 2079, -41.6667, 472, 0
245, 609, 772, -52.0833, 357, 0
246, 3654, 2928, -833.3333, 376, 0
247, 1355, 7282, -34.2466, 0, 0
248, 1355, 2197, -65.3595, 1381, 0
249, 1355, 7640, -64.1026, 1513, 0
250, 1355, 1081, -36.2319, 1282, 0
251, 1355, 1081, -37.7358, 1480, 0
252, 1355, 2359, -108.6957, 1315, 0
253, 1355, 4196, -58.8235, 657, 0
254, 5856, 8546, -90.9091, 0, 0
255, 5856, 5987, -34.4828, 395, 0
256, 5856, 8005, -32.8947, 0, 0
257, 5856, 3925, -30.6748, 338, 0
258, 5856, 3324, -23.8663, 453, 0
259, 5856, 4748, -94.3396, 357, 0
260, 8265, 4816, -384.6154, 0, 0
261, 6151, 6313, -303.0303, 357, 0
262, 4005, 6532, -56.8182, 376, 0
263, 4005, 2177, -22.9885, 357, 0
264, 5723, 2079, -50.0000, 0, 0
265, 5723, 789, -53.4759, 491, 0
266, 2327, 9189, -769.2308, 395, 0
267, 2327, 3400, -666.6667, 0, 0
268, 207, 4747, -74.6269, 376, 0
269, 207, 7791, -175.4386, 472, 0
270, 3205, 6735, -2500.0000, 657, 0
271, 3205, 666, -111.1111, 1282, 0
272, 3205, 666, -113.6364, 1447, 0
273, 3205, 4435, -29.4985, 1282, 0
274, 3205, 1644, -126.5823, 0, 0
275, 3205, 3483, -119.0476, 1216, 0
276, 4683, 7989, -833.3333, 0, 0
277, 4683, 6516, -909.0909, 0, 0
278, 4683, 7697, -833.3333, 0, 0
279, 4683, 416, -40.9836, 529, 0
280, 4683, 2847, -89.2857, 395, 0
281, 4683, 2563, -92.5926, 491, 0
282, 4683, 2563, -94.3396, 472, 0
283, 4683, 2995, -51.0204, 281, 0
284, 5691, 1001, -10.4712, 510, 0
285, 5691, 4426, -13.5135, 414, 0
286, 5350, 2721, -149.2537, 1447, 0
287, 5350, 2721, -151.5152, 1480, 0
288, 2361, 4936, -104.1667, 529, 0
289, 2361, 5179, -84.0336, 510, 0
290, 2044, 4748, -526.3158, 0, 0
291, 4197, 5522, -454.5455, 0, 0
292, 5699, 8670, -416.6667, 0, 0
293, 7809, 5110, -58.8235, 357, 0
294, 7222, 4816, -32.2581, 0, 0
295, 4402, 3817, -3333.3333, 0, 0
296, 6857, 2732, -138.8889, 986, 0
297, 6857, 4550, -151.5152, 821, 0
298, 6857, 4339, -65.7895, 1183, 0
299, 6857, 7513, -64.5161, 854, 0
300, 5016, 26, -163.9344, 1414, 0
301, 5016, 9213, -200.0000, 1249, 0
302, 6112, 9002, -74.6269, 491, 0
303, 6112, 6231, -67.1141, 414, 0
304, 6112, 883, -52.6316, 414, 0
305, 6112, 5738, -73.5294, 376, 0
306, 8860, 7700, -105.2632, 395, 0
307, 8860, 9002, -86.9565, 395, 0
308, 8860, 5990, -17.3010, 0, 0
309, 8860, 6450, -71.9424, 300, 0
310, 8860, 7726, -136.9863, 414, 0
311, 2489, 4110, -256.4103, 529, 0
312, 3985, 6376, -51.8135, 0, 0
313, 3985, 4110, -227.2727, 529, 0
314, 3985, 4829, -28.4091, 510, 0
315, 3985, 7857, -217.3913, 414, 0
316, 2806, 7857, -217.3913, 0, 0
317, 2489, 9012, -172.4138, 0, 0
318, 2489, 2231, -185.1852, 0, 0
319, 658, 3793, -33.1126, 472, 0
320, 658, 8497, -41.4938, 510, 0
321, 658, 8497, -40.6504, 529, 0
322, 3502, 9002, -1111.1111, 395, 0
323, 3502, 9002, -1000.0000, 414, 0
324, 6313, 44, -45.0450, 453, 0
325, 6313, 7582, -44.2478, 0, 0
326, 5944, 8808, -625.0000, 0, 0
327, 3183, 8515, -93.4579, 300, 0
328, 1005, 8515, -102.0408, 0, 0
329, 8787, 1448, -81.3008, 529, 0
330, 6636, 9051, -1250.0000, 0, 0
331, 9109, 9051, -1428.5714, 0, 0
332, 6961, 6376, -45.6621, 0, 0
333, 6961, 8818, -58.8235, 338, 0
334, 5077, 4353, -769.2308, 0, 0
335, 7471, 5241, -61.3497, 723, 0
336, 7471, 8200, -1666.6667, 1710, 0
337, 549, 6290, -40.8163, 472, 0
338, 549, 2291, -45.6621, 319, 0
339, 549, 3656, -96.1538, 472, 0
340, 5002, 4144, -18.6916, 395, 0
341, 1888, 5441, -344.8276, 529, 0
342, 1888, 5441, -333.3333, 529, 0
343, 5490, 4970, -156.2500, 0, 0
344, 5490, 4970, -151.5152, 0, 0
345, 5490, 4970, -136.9863, 1776, 0
346, 5490, 5461, -114.9425, 1710, 0
347, 5490, 7778, -92.5926, 1842, 0
348, 5490, 6897, -90.9091, 1809, 0
349, 3075, 4562, -196.0784, 300, 0
350, 564, 8475, -40.9836, 0, 0
351, 564, 2252, -60.6061, 453, 0
352, 564, 7903, -21.2314, 0, 0
353, 4331, 1857, -5000.0000, 0, 0
354, 2877, 3674, -185.1852, 0, 0
355, 2854, 1081, -21.3675, 920, 0
356, 2854, 8267, -68.0272, 986, 0
357, 9112, 9176, -58.1395, 0, 0
358, 9112, 1422, -14.4092, 376, 0
359, 9112, 8515, -57.4713, 338, 0
360, 9112, 8515, -60.2410, 433, 0
361, 9112, 5051, -17.7620, 319, 0
362, 9112, 1051, -57.1429, 357, 0
363, 9112, 1397, -64.9351, 0, 0
364, 9112, 1584, -30.2115, 376, 0
365, 6168, 6888, -59.1716, 0, 0
366, 7653, 3019, -5000.0000, 0, 0
367, 7341, 7098, -140.8451, 357, 0
368, 4701, 8267, -1000.0000, 657, 0
369, 1672, 5365, -1000.0000, 0, 0
370, 3880, 5365, -1000.0000, 0, 0
371, 6648, 5365, -1000.0000, 0, 0
372, 3609, 5365, -1000.0000, 0, 0
373, 2782, 5365, -909.0909, 0, 0
374, 1844, 5365, -1000.0000, 0, 0
375, 4353, 6053, -81.3008, 281, 0
376, 2166, 5237, -526.3158, 395, 0
377, 2166, 2886, -93.4579, 414, 0
378, 1043, 3513, -5000.0000, 0, 0
379, 4049, 883, -3333.3333, 0, 0
380, 4520, 883, -3333.3333, 0, 0
381, 1704, 5814, -26.3852, 453, 0
382, 8107, 1486, -1666.6667, 0, 0
383, 5664, 5522, -243.9024, 338, 0
384, 4482, 8670, -250.0000, 300, 0
385, 8795, 7523, -76.3359, 300, 0
386, 2337, 6430, -60.6061, 433, 0
387, 455, 7775, -36.9004, 453, 0
388, 455, 3857, -20.5761, 529, 0
389, 455, 333, -16.9492, 529, 0
390, 455, 6940, -33.8983, 472, 0
391, 8225, 3656, -188.6792, 0, 0
392, 5413, 7752, -54.9451, 0, 0
393, 5413, 1940, -93.4579, 0, 0
394, 5413, 4234, -23.9808, 0, 0
395, 2591, 6828, -16.6945, 0, 0
396, 2591, 7571, -39.3701, 491, 0
397, 2591, 7571, -53.4759, 0, 0
398, 2591, 7571, -45.6621, 472, 0
399, 2591, 7994, -22.7273, 300, 0
400, 2591, 7226, -55.2486, 357, 0
401, 2591, 1554, -36.1011, 319, 0
402, 9011, 1156, -250.0000, 510, 0
403, 8689, 5502, -112.3596, 300, 0
404, 3085, 8873, -74.6269, 414, 0
405, 1568, 980, -2000.0000, 300, 0
406, 3204, 3331, -86.2069, 0, 0
407, 3557, 639, -144.9275, 414, 0
408, 3557, 4936, -82.6446, 414, 0
409, 416, 3492, -32.1543, 338, 0
410, 416, 7937, -41.8410, 414, 0
411, 3255, 1262, -56.1798, 0, 0
412, 3255, 1803, -1666.6667, 0, 0
413, 7373, 367, -61.7284, 0, 0
414, 4251, 2132, -37.0370, 319, 0
415, 4251, 2132, -35.5872, 453, 0
416, 4251, 5567, -98.0392, 433, 0
417, 6376, 1808, -37.3134, 300, 0
418, 6376, 1808, -36.6300, 319, 0
419, 6376, 7857, -59.1716, 300, 0
420, 9185, 7289, -129.8701, 357, 0
421, 9185, 3999, -1428.5714, 414, 0
422, 8653, 2303, -140.8451, 376, 0
423, 908, 6474, -526.3158, 433, 0
424, 7030, 6474, -476.1905, 0, 0
425, 4205, 6556, -588.2353, 0, 0
426, 7325, 6556, -588.2353, 0, 0
427, 5857, 3391, -119.0476, 281, 0
428, 5857, 3760, -161.2903, 433, 0
429, 3707, 8765, -769.2308, 414, 0
430, 900, 6619, -714.2857, 0, 0
431, 2918, 8109, -55.5556, 1776, 0
432, 2918, 8109, -66.2252, 0, 0
433, 6532, 2177, -15.6986, 0, 0
434, 6532, 5317, -13.6240, 510, 0
435, 6532, 608, -28.9855, 414, 0
436, 6532, 608, -31.5457, 357, 0
437, 4494, 8763, -72.4638, 1447, 0
438, 4494, 7056, -75.1880, 1480, 0
439, 6828, 5814, -38.3142, 0, 0
440, 3670, 21, -714.2857, 319, 0
441, 5137, 7702, -166.6667, 0, 0
442, 1334, 7702, -169.4915, 0, 0
443, 8448, 7624, -126.5823, 319, 0
444, 8448, 1129, -41.6667, 453, 0
445, 8448, 3070, -46.7290, 300, 0
446, 8448, 306, -96.1538, 414, 0
447, 8448, 306, -94.3396, 376, 0
448, 8448, 7491, -39.3701, 0, 0
449, 4685, 2089, -1250.0000, 281, 0
450, 7485, 6253, -833.3333, 281, 0
451, 7485, 1562, -1250.0000, 0, 0
452, 7776, 1644, -222.2222, 1842, 0
453, 5971, 3483, -227.2727, 0, 0
454, 2786, 1644, -204.0816, 0, 0
455, 972, 3483, -196.0784, 0, 0
456, 8906, 923, -1111.1111, 0, 0
457, 8906, 4914, -1000.0000, 395, 0
458, 2656, 9101, -46.2963, 657, 0
459, 2656, 7164, -43.1034, 1776, 0
460, 3519, 9101, -45.4545, 657, 0
461, 3519, 7164, -42.1941, 657, 0
462, 1775, 9137, -85.4701, 281, 0
463, 1775, 9137, -104.1667, 453, 0
464, 5641, 1026, -13.0208, 319, 0
465, 5641, 9137, -106.3830, 491, 0
466, 1096, 2889, -555.5556, 0, 0
467, 7380, 2732, -42.5532, 1183, 0
468, 7380, 4787, -1000.0000, 1052, 0
469, 3543, 5308, -123.4568, 1513, 0
470, 3543, 3830, -149.2537, 0, 0
471, 2372, 1027, -133.3333, 1381, 0
472, 2372, 5648, -158.7302, 0, 0
473, 367, 1172, -113.6364, 529, 0
474, 367, 9191, -161.2903, 529, 0
475, 367, 8722, -161.2903, 529, 0
476, 1833, 3610, -263.1579, 472, 0
477, 1833, 3610, -312.5000, 433, 0
478, 1833, 3962, -113.6364, 0, 0
479, 1833, 1838, -217.3913, 357, 0
480, 1833, 2230, -222.2222, 0, 0
481, 5388, 2467, -65.3595, 414, 0
482, 5388, 2467, -64.1026, 414, 0
483, 6110, 8853, -172.4138, 510, 0
484, 6110, 1001, -58.8235, 529, 0
485, 7583, 1808, -84.0336, 281, 0
486, 7583, 2889, -32.2581, 281, 0
487, 26, 6624, -29.4118, 1545, 0
488, 26, 2479, -41.3223, 1052, 0
489, 26, 4598, -68.4932, 0, 0
490, 26, 4231, -101.0101, 1513, 0
491, 26, 5144, -208.3333, 1348, 0
492, 26, 5144, -250.0000, 1216, 0
493, 7691, 2479, -58.1395, 1282, 0
494, 7691, 2129, -67.1141, 887, 0
495, 7691, 9213, -294.1176, 1249, 0
496, 7691, 9213, -400.0000, 1480, 0
497, 7691, 4231, -103.0928, 1809, 0
498, 7691, 3513, -212.7660, 1282, 0
499, 7691, 3513, -250.0000, 1216, 0
500, 1876, 3906, -196.0784, 1118, 0
501, 113, 3906, -200.0000, 1315, 0
502, 7752, 3758, -43.8596, 300, 0
503, 7752, 3758, -48.5437, 281, 0
504, 7752, 3758, -49.2611, 0, 0
505, 4952, 8976, -93.4579, 338, 0
506, 4952, 8189, -51.2821, 281, 0
507, 6119, 7886, -17.6056, 0, 0
508, 6119, 4544, -64.9351, 510, 0
509, 6119, 4544, -66.2252, 0, 0
510, 7905, 3697, -61.7284, 1578, 0
511, 7905, 7541, -222.2222, 887, 0
512, 7905, 7541, -256.4103, 1019, 0
513, 7905, 4141, -86.9565, 887, 0
514, 7905, 4141, -84.7458, 887, 0
515, 7905, 3022, -66.6667, 1447, 0
516, 1768, 163, -79.3651, 395, 0
517, 4245, 2425, -833.3333, 357, 0
518, 3698, 5297, -1428.5714, 357, 0
519, 750, 8328, -833.3333, 414, 0
520, 750, 870, -666.6667, 472, 0
521, 750, 2961, -1428.5714, 433, 0
522, 3499, 7988, -147.0588, 821, 0
523, 3499, 2197, -82.6446, 1315, 0
524, 3499, 7640, -84.7458, 1348, 0
525, 3499, 4231, -103.0928, 1085, 0
526, 3499, 5144, -77.5194, 1151, 0
527, 3499, 3513, -78.7402, 821, 0
528, 7289, 3999, -147.0588, 357, 0
529, 3018, 1051, -3333.3333, 338, 0
530, 2702, 3435, -1428.5714, 300, 0
531, 9131, 2020, -1428.5714, 0, 0
532, 6308, 6684, -1000.0000, 0, 0
533, 4831, 3680, -27.1739, 0, 0
534, 5410, 2751, -43.4783, 319, 0
535, 3082, 4623, -78.7402, 1118, 0
536, 3082, 4339, -101.0101, 1381, 0
537, 3082, 5288, -3333.3333, 657, 0
538, 3082, 5421, -1250.0000, 657, 0
539, 3082, 6475, -48.7805, 1513, 0
540, 3082, 8468, -65.7895, 1183, 0
541, 6224, 2732, -55.2486, 1513, 0
542, 6224, 7513, -89.2857, 1644, 0
543, 6224, 6475, -58.4795, 0, 0
544, 2174, 4623, -77.5194, 1216, 0
545, 2174, 4550, -57.4713, 1545, 0
546, 2174, 6475, -51.5464, 1677, 0
547, 2083, 9231, -62.1118, 319, 0
548, 2083, 9231, -67.5676, 453, 0
549, 2083, 9231, -57.8035, 376, 0
550, 2083, 4054, -1250.0000, 0, 0
551, 2083, 3481, -32.8947, 395, 0
552, 2083, 3602, -100.0000, 0, 0
553, 2083, 2794, -384.6154, 0, 0
554, 2083, 2794, -454.5455, 0, 0
555, 2083, 8467, -25.2525, 395, 0
556, 2083, 1136, -153.8462, 0, 0
557, 2083, 22, -151.5152, 0, 0
558, 8853, 1001, -43.8596, 529, 0
559, 8853, 4950, -25.5754, 0, 0
560, 8853, 4410, -33.4448, 281, 0
561, 8853, 6697, -62.1118, 338, 0
562, 8853, 1159, -92.5926, 338, 0
563, 8853, 7165, -38.0228, 414, 0
564, 2938, 2848, -181.8182, 756, 0
565, 2938, 2848, -185.1852, 657, 0
566, 2938, 7522, -72.9927, 1677, 0
567, 2938, 7522, -64.1026, 1447, 0
568, 2938, 1642, -45.0450, 1710, 0
569, 2938, 809, -46.0829, 1710, 0
570, 9189, 6791, -303.0303, 300, 0
571, 9189, 3400, -1250.0000, 0, 0
572, 9189, 7092, -322.5806, 0, 0
573, 9189, 3718, -384.6154, 319, 0
574, 9189, 3701, -454.5455, 0, 0
575, 9189, 7507, -104.1667, 414, 0
576, 9189, 7507, -93.4579, 376, 0
577, 9189, 7507, -116.2791, 0, 0
578, 9189, 2406, -142.8571, 0, 0
579, 2801, 8511, -1250.0000, 0, 0
580, 2801, 216, -158.7302, 300, 0
581, 453, 2129, -357.1429, 854, 0
582, 8691, 6952, -19.3424, 529, 0
583, 8691, 6952, -13.6054, 491, 0
584, 8691, 1183, -47.8469, 0, 0
585, 8691, 4410, -37.8788, 510, 0
586, 8691, 8743, -29.6736, 357, 0
587, 2446, 8763, -140.8451, 0, 0
588, 2627, 8763, -142.8571, 0, 0
589, 4951, 6785, -57.1429, 433, 0
590, 4951, 6785, -51.5464, 414, 0
591, 4623, 964, -106.3830, 1249, 0
592, 4623, 964, -103.0928, 1480, 0
593, 4623, 8347, -188.6792, 1578, 0
594, 4623, 8347, -212.7660, 1743, 0
595, 4623, 8347, -200.0000, 1447, 0
596, 1609, 6552, -156.2500, 510, 0
597, 1609, 6552, -161.2903, 510, 0
598, 1609, 8999, -57.8035, 357, 0
599, 4368, 4816, -35.5872, 453, 0
600, 5481, 960, -5000.0000, 0, 0
601, 7913, 960, -5000.0000, 0, 0
602, 506, 960, -3333.3333, 657, 0
603, 2980, 960, -2500.0000, 657, 0
604, 4554, 6382, -212.7660, 433, 0
605, 4554, 6382, -204.0816, 433, 0
606, 6844, 1595, -83.3333, 0, 0
607, 3672, 5334, -333.3333, 281, 0
608, 6219, 5334, -322.5806, 0, 0
609, 8997, 6153, -94.3396, 0, 0
610, 1852, 5935, -43.4783, 529, 0
611, 1852, 5695, -23.3100, 414, 0
612, 2931, 5799, -50.5051, 0, 0
613, 2931, 7124, -23.0415, 433, 0
614, 2598, 3674, -65.7895, 281, 0
615, 2598, 2132, -33.1126, 319, 0
616, 2558, 7571, -30.8642, 319, 0
617, 8834, 1129, -59.1716, 0, 0
618, 7377, 3324, -153.8462, 0, 0
619, 1265, 4426, -21.6920, 414, 0
620, 1265, 1965, -49.7512, 319, 0
621, 8060, 7162, -2000.0000, 0, 0
622, 6922, 5482, -54.0541, 338, 0
623, 6922, 1295, -714.2857, 357, 0
624, 8369, 4710, -54.9451, 0, 0
625, 8961, 7133, -140.8451, 319, 0
626, 8961, 6888, -44.8430, 281, 0
627, 4185, 7019, -2000.0000, 281, 0
628, 4185, 6253, -1250.0000, 319, 0
629, 7895, 3391, -28.5714, 433, 0
630, 7895, 1448, -25.5102, 510, 0
