branchNo,branch_fbus,branch_tbus,branch_b,branch_rateA,branch_rateC
196, 121, 276, -40.8163, 320.29, 0
197, 121, 287, -14.6843, 320.29, 0
198, 124, 123, -69.4444, 488, 0
199, 125, 123, -24.6305, 346, 0
200, 126, 123, -45.6621, 352, 0
201, 127, 123, -20.8768, 378, 0
202, 128, 123, -63.2911, 391, 0
203, 165, 123, -322.5806, 1493.89, 0
204, 124, 260, -53.4759, 320.29, 0
205, 124, 369, -14.1643, 320.29, 0
206, 130, 129, -312.5000, 165.98, 0
207, 304, 129, -34.0136, 320.29, 0
208, 324, 129, -58.1395, 320.29, 0
209, 132, 131, -277.7778, 41.59, 0
210, 131, 333, -46.7290, 320.29, 0
211, 134, 133, -322.5806, 66.01, 0
212, 133, 226, -16.9205, 320.29, 0
213, 133, 369, -17.6991, 320.29, 0
214, 473, 133, -21.8818, 320.29, 0
215, 136, 135, -270.2703, 45.59, 0
216, 135, 287, -14.4092, 320.29, 0
217, 135, 457, -15.8730, 320.29, 0
218, 138, 137, -263.1579, 122.92, 0
219, 137, 214, -33.3333, 320.29, 0
220, 137, 426, -34.7222, 320.29, 0
221, 137, 426, -34.7222, 320.3, 0
222, 140, 139, -312.5000, 0.36, 0
223, 139, 376, -38.9105, 320.29, 0
224, 429, 139, -70.9220, 320.29, 0
225, 142, 141, -294.1176, 209.78, 0
226, 300, 141, -40.8163, 320.29, 0
227, 144, 143, -13.0548, 336, 0
228, 144, 143, -13.0548, 336, 0
229, 145, 143, -29.6736, 322, 0
230, 145, 143, -29.6736, 322, 0
231, 143, 338, -51.5464, 320.29, 0
232, 143, 401, -25.6410, 320.29, 0
233, 143, 452, -13.8122, 320.29, 0
234, 496, 143, -51.0204, 320.29, 0
235, 147, 146, -17.9856, 272, 0
236, 146, 162, -243.9024, 1493.89, 0
237, 146, 195, -232.5581, 1493.89, 0
238, 148, 147, -256.4103, 102.39, 0
239, 475, 147, -32.6797, 320.29, 0
240, 150, 149, -270.2703, 2.36, 0
241, 293, 149, -23.7530, 320.29, 0
242, 489, 149, -42.5532, 320.29, 0
243, 152, 151, -49.2611, 570, 0
244, 428, 151, -166.6667, 1493.89, 0
245, 153, 152, -322.5806, 130.11, 0
246, 238, 152, -48.3092, 320.29, 0
247, 155, 154, -333.3333, 89.97, 0
248, 154, 429, -49.0196, 320.29, 0
249, 154, 488, -13.6240, 320.29, 0
250, 157, 156, -277.7778, 164.26, 0
251, 488, 156, -58.4795, 320.29, 0
252, 159, 158, -256.4103, 31.35, 0
253, 158, 233, -17.8891, 320.29, 0
254, 158, 291, -20.2840, 320.29, 0
255, 161, 160, -277.7778, 44.84, 0
256, 160, 212, -40.6504, 320.29, 0
257, 160, 399, -27.1739, 320.29, 0
258, 163, 162, -50.5051, 510, 0
259, 163, 162, -50.5051, 510, 0
260, 162, 195, -303.0303, 1493.89, 0
261, 162, 220, -54.3478, 1493.89, 0
262, 162, 232, -131.5789, 1493.89, 0
263, 164, 163, -250.0000, 174.51, 0
264, 200, 163, -33.3333, 320.29, 0
265, 166, 165, -114.9425, 606, 0
266, 167, 165, -46.2963, 411, 0
267, 168, 165, -28.1690, 445, 0
268, 169, 165, -39.0625, 543, 0
269, 165, 386, -96.1538, 1493.89, 0
270, 166, 228, -22.5225, 320.29, 0
271, 260, 166, -54.9451, 320.29, 0
272, 166, 289, -49.2611, 320.29, 0
273, 171, 170, -263.1579, 20.92, 0
274, 170, 226, -23.5294, 320.29, 0
275, 173, 172, -322.5806, 4.69, 0
276, 174, 172, -333.3333, 12.34, 0
277, 202, 172, -25.5754, 320.29, 0
278, 172, 244, -31.6456, 320.29, 0
279, 176, 175, -25.9067, 273, 0
280, 175, 220, -62.5000, 1493.89, 0
281, 177, 176, -277.7778, 12.91, 0
282, 178, 176, -312.5000, 10.65, 0
283, 318, 176, -30.3951, 320.29, 0
284, 180, 179, -303.0303, 25.21, 0
285, 179, 291, -17.4520, 320.29, 0
286, 345, 179, -21.4592, 320.29, 0
287, 179, 374, -27.6243, 320.29, 0
288, 182, 181, -270.2703, 145.73, 0
289, 181, 487, -37.8788, 320.29, 0
290, 184, 183, -333.3333, 40.45, 0
291, 183, 247, -52.9101, 320.29, 0
292, 183, 274, -28.3286, 320.29, 0
293, 186, 185, -322.5806, 76.88, 0
294, 445, 185, -35.4610, 320.29, 0
295, 185, 467, -54.0541, 320.29, 0
296, 188, 187, -322.5806, 19.87, 0
297, 187, 454, -7.8740, 320.29, 0
298, 190, 189, -333.3333, 22.9, 0
299, 192, 191, -263.1579, 27.24, 0
300, 191, 205, -19.5695, 320.29, 0
301, 191, 293, -20.1613, 320.29, 0
302, 194, 193, -263.1579, 49.31, 0
303, 196, 195, -69.4444, 560, 0
304, 197, 195, -32.2581, 597, 0
305, 198, 195, -45.8716, 527, 0
306, 371, 195, -166.6667, 1493.89, 0
307, 199, 196, -303.0303, 123.99, 0
308, 201, 200, -312.5000, 14.82, 0
309, 203, 202, -277.7778, 6.57, 0
310, 204, 202, -256.4103, 72.65, 0
311, 380, 202, -19.4175, 320.29, 0
312, 206, 205, -333.3333, 4.37, 0
313, 207, 205, -270.2703, 30.41, 0
314, 205, 312, -16.1031, 320.29, 0
315, 209, 208, -277.7778, 141.36, 0
316, 322, 208, -36.3636, 320.29, 0
317, 356, 208, -40.8163, 320.29, 0
318, 211, 210, -263.1579, 54.3, 0
319, 488, 210, -28.0899, 320.29, 0
320, 213, 212, -270.2703, 155.03, 0
321, 212, 399, -31.1526, 320.29, 0
322, 408, 212, -36.2319, 320.29, 0
323, 215, 214, -263.1579, 124.11, 0
324, 214, 403, -24.6914, 320.29, 0
325, 217, 216, -322.5806, 71.72, 0
326, 219, 218, -270.2703, 0.6, 0
327, 218, 399, -22.9358, 320.29, 0
328, 221, 220, -34.4828, 556, 0
329, 222, 220, -45.0450, 228, 0
330, 223, 220, -32.6797, 248, 0
331, 224, 220, -41.6667, 588, 0
332, 224, 220, -41.6667, 588, 0
333, 225, 220, -80.6452, 628, 0
334, 225, 220, -80.6452, 628, 0
335, 220, 471, -70.4225, 1493.89, 0
336, 221, 447, -26.2467, 320.29, 0
337, 221, 478, -34.2466, 320.29, 0
338, 221, 493, -30.4878, 320.29, 0
339, 227, 226, -303.0303, 8.92, 0
340, 229, 228, -277.7778, 77.87, 0
341, 228, 468, -21.2766, 320.29, 0
342, 228, 474, -16.7504, 320.29, 0
343, 231, 230, -5.2966, 65, 0
344, 285, 230, -37.8788, 320.29, 0
345, 233, 232, -48.3092, 628, 0
346, 262, 232, -277.7778, 1493.89, 0
347, 232, 371, -153.8462, 1493.89, 0
348, 232, 453, -232.5581, 1493.89, 0
349, 234, 233, -294.1176, 95.68, 0
350, 233, 486, -45.8716, 320.29, 0
351, 236, 235, -35.8423, 507, 0
352, 235, 271, -243.9024, 1493.89, 0
353, 235, 407, -60.9756, 1493.89, 0
354, 237, 236, -303.0303, 4.32, 0
355, 283, 236, -24.1546, 320.29, 0
356, 239, 238, -277.7778, 64.09, 0
357, 241, 240, -250.0000, 27.17, 0
358, 240, 272, -9.3633, 320.29, 0
359, 243, 242, -270.2703, 130.7, 0
360, 242, 287, -14.7710, 320.29, 0
361, 242, 320, -34.3643, 320.29, 0
362, 245, 244, -312.5000, 15.81, 0
363, 244, 426, -29.4985, 320.29, 0
364, 247, 246, -14.7493, 271, 0
365, 248, 246, -18.3824, 336, 0
366, 249, 246, -18.4162, 333, 0
367, 250, 246, -49.5050, 628, 0
368, 250, 246, -49.5050, 628, 0
369, 246, 332, -74.6269, 1493.89, 0
370, 428, 246, -68.4932, 1493.89, 0
371, 246, 471, -69.4444, 1493.89, 0
372, 252, 251, -256.4103, 171.55, 0
373, 251, 360, -24.0964, 320.29, 0
374, 417, 251, -24.4499, 320.29, 0
375, 254, 253, -7.4349, 134, 0
376, 255, 253, -9.4340, 75, 0
377, 256, 253, -5.2994, 65, 0
378, 257, 253, -12.3457, 142, 0
379, 258, 253, -3.8565, 52, 0
380, 259, 253, -277.7778, 11.94, 0
381, 253, 347, -40.8163, 320.29, 0
382, 253, 417, -20.4499, 320.29, 0
383, 261, 260, -303.0303, 31.44, 0
384, 263, 262, -54.6448, 656, 0
385, 264, 262, -20.0000, 255, 0
386, 265, 262, -29.5858, 241, 0
387, 266, 263, -294.1176, 107.16, 0
388, 263, 276, -120.4819, 320.29, 0
389, 263, 326, -41.3223, 320.29, 0
390, 263, 476, -57.8035, 320.29, 0
391, 263, 491, -30.0300, 320.29, 0
392, 268, 267, -277.7778, 206.87, 0
393, 312, 267, -23.2558, 320.29, 0
394, 270, 269, -250.0000, 10.95, 0
395, 475, 269, -29.4985, 320.29, 0
396, 272, 271, -26.5252, 484, 0
397, 273, 272, -250.0000, 15.37, 0
398, 275, 274, -24.5098, 225, 0
399, 277, 276, -270.2703, 0.66, 0
400, 278, 276, -263.1579, 8.45, 0
401, 276, 320, -32.4675, 320.29, 0
402, 276, 485, -41.4938, 320.29, 0
403, 280, 279, -322.5806, 24.56, 0
404, 279, 340, -17.4520, 320.29, 0
405, 279, 468, -32.4675, 320.29, 0
406, 282, 281, -277.7778, 203.73, 0
407, 310, 281, -46.2963, 320.29, 0
408, 281, 328, -21.9298, 320.29, 0
409, 281, 384, -27.1739, 320.29, 0
410, 284, 283, -250.0000, 48.08, 0
411, 286, 285, -303.0303, 13.41, 0
412, 285, 487, -32.1543, 320.29, 0
413, 288, 287, -263.1579, 89.94, 0
414, 287, 415, -25.4453, 320.29, 0
415, 287, 476, -14.6413, 320.29, 0
416, 290, 289, -263.1579, 5.93, 0
417, 468, 289, -18.0505, 320.29, 0
418, 292, 291, -312.5000, 12.61, 0
419, 294, 293, -303.0303, 35.71, 0
420, 296, 295, -294.1176, 10.75, 0
421, 314, 295, -32.5733, 320.29, 0
422, 295, 447, -31.8471, 320.29, 0
423, 477, 295, -29.8507, 320.29, 0
424, 298, 297, -31.8471, 348, 0
425, 425, 297, -250.0000, 1493.89, 0
426, 297, 440, -107.5269, 1493.89, 0
427, 299, 298, -277.7778, 20.05, 0
428, 298, 426, -32.1543, 320.29, 0
429, 301, 300, -12.3001, 67, 0
430, 302, 300, -12.7714, 75, 0
431, 303, 300, -250.0000, 139.23, 0
432, 405, 300, -30.8642, 320.29, 0
433, 300, 478, -12.4533, 320.29, 0
434, 305, 304, -1.8660, 28, 0
435, 306, 304, -4.0016, 63, 0
436, 307, 304, -285.7143, 122.19, 0
437, 309, 308, -250.0000, 13.62, 0
438, 308, 500, -14.9925, 320.29, 0
439, 311, 310, -277.7778, 60.45, 0
440, 358, 310, -37.1747, 320.29, 0
441, 313, 312, -250.0000, 17.95, 0
442, 399, 312, -21.5983, 320.29, 0
443, 315, 314, -322.5806, 0.67, 0
444, 317, 316, -333.3333, 5.45, 0
445, 319, 318, -13.1752, 120, 0
446, 318, 336, -19.9203, 320.29, 0
447, 378, 318, -80.0000, 320.29, 0
448, 321, 320, -277.7778, 269.4, 0
449, 323, 322, -322.5806, 75.55, 0
450, 324, 322, -69.4444, 320.29, 0
451, 325, 324, -270.2703, 146.36, 0
452, 327, 326, -312.5000, 159.77, 0
453, 491, 326, -43.6681, 320.29, 0
454, 329, 328, -333.3333, 40.66, 0
455, 331, 330, -256.4103, 77.39, 0
456, 333, 330, -68.4932, 320.29, 0
457, 449, 330, -50.2513, 320.29, 0
458, 333, 332, -37.8788, 508, 0
459, 332, 471, -294.1176, 1493.89, 0
460, 334, 333, -312.5000, 0.85, 0
461, 335, 333, -277.7778, 1.26, 0
462, 337, 336, -256.4103, 9.71, 0
463, 378, 336, -20.4918, 320.29, 0
464, 492, 336, -16.4745, 320.29, 0
465, 339, 338, -277.7778, 98.2, 0
466, 338, 459, -55.8659, 320.29, 0
467, 341, 340, -263.1579, 43.31, 0
468, 460, 340, -28.1690, 320.29, 0
469, 343, 342, -277.7778, 3.7, 0
470, 344, 342, -256.4103, 3.28, 0
471, 346, 345, -312.5000, 72.41, 0
472, 345, 415, -15.3610, 320.29, 0
473, 348, 347, -322.5806, 138.46, 0
474, 347, 417, -19.6464, 320.29, 0
475, 350, 349, -13.9665, 183, 0
476, 351, 349, -12.6263, 142, 0
477, 352, 349, -13.8696, 150, 0
478, 353, 349, -13.8504, 206, 0
479, 349, 403, -39.8406, 320.29, 0
480, 355, 354, -263.1579, 28.27, 0
481, 421, 354, -21.8341, 320.29, 0
482, 479, 354, -23.8095, 320.29, 0
483, 357, 356, -294.1176, 84.77, 0
484, 356, 382, -36.4964, 320.29, 0
485, 359, 358, -285.7143, 25, 0
486, 361, 360, -2.9656, 52, 0
487, 362, 360, -8.4746, 162, 0
488, 363, 360, -8.6281, 75, 0
489, 364, 360, -277.7778, 40.25, 0
490, 360, 417, -12.8205, 320.29, 0
491, 366, 365, -256.4103, 101.52, 0
492, 365, 374, -36.7647, 320.29, 0
493, 365, 454, -45.2489, 320.29, 0
494, 368, 367, -312.5000, 17.62, 0
495, 367, 461, -17.2414, 320.29, 0
496, 367, 468, -13.1062, 320.29, 0
497, 370, 369, -322.5806, 62.18, 0
498, 372, 371, -27.7778, 508, 0
499, 373, 372, -312.5000, 48.53, 0
500, 375, 374, -333.3333, 43.22, 0
501, 377, 376, -294.1176, 162.43, 0
502, 376, 429, -37.8788, 320.29, 0
503, 376, 460, -46.2963, 320.29, 0
504, 376, 469, -22.2222, 320.29, 0
505, 376, 495, -31.3480, 320.29, 0
506, 379, 378, -263.1579, 20.35, 0
507, 381, 380, -277.7778, 14.39, 0
508, 493, 380, -30.5810, 320.29, 0
509, 383, 382, -277.7778, 44.49, 0
510, 385, 384, -322.5806, 48.14, 0
511, 441, 384, -35.4610, 320.29, 0
512, 387, 386, -60.6061, 658, 0
513, 387, 386, -60.6061, 658, 0
514, 388, 386, -23.5849, 255, 0
515, 389, 386, -27.9330, 374, 0
516, 390, 386, -36.6300, 389, 0
517, 391, 386, -40.8163, 399, 0
518, 392, 386, -30.3030, 297, 0
519, 393, 386, -29.8507, 283, 0
520, 394, 386, -45.4545, 318, 0
521, 395, 386, -17.7936, 312, 0
522, 396, 386, -46.0829, 313, 0
523, 440, 386, -81.3008, 1493.89, 0
524, 397, 387, -303.0303, 66.7, 0
525, 398, 387, -322.5806, 24.41, 0
526, 387, 467, -34.6021, 320.29, 0
527, 387, 470, -51.0204, 320.29, 0
528, 400, 399, -250.0000, 31.68, 0
529, 408, 399, -64.5161, 320.29, 0
530, 402, 401, -270.2703, 123.69, 0
531, 404, 403, -285.7143, 26.17, 0
532, 406, 405, -277.7778, 8.23, 0
533, 492, 405, -24.0964, 320.29, 0
534, 408, 407, -72.9927, 595, 0
535, 409, 407, -16.3666, 326, 0
536, 410, 407, -23.8095, 445, 0
537, 411, 407, -42.5532, 441, 0
538, 412, 407, -37.1747, 431, 0
539, 413, 407, -24.7525, 436, 0
540, 414, 407, -22.6244, 342, 0
541, 416, 415, -263.1579, 8.66, 0
542, 418, 417, -285.7143, 109.42, 0
543, 417, 468, -30.5810, 320.29, 0
544, 417, 469, -22.3214, 320.29, 0
545, 417, 474, -30.1205, 320.29, 0
546, 420, 419, -263.1579, 8.45, 0
547, 422, 421, -322.5806, 65.44, 0
548, 424, 423, -256.4103, 273.23, 0
549, 423, 496, -27.8552, 320.29, 0
550, 426, 425, -31.0559, 554, 0
551, 427, 426, -333.3333, 18.8, 0
552, 429, 428, -114.9425, 646, 0
553, 430, 428, -15.7233, 207, 0
554, 431, 428, -27.3973, 225, 0
555, 432, 428, -31.4465, 204, 0
556, 433, 428, -10.9890, 218, 0
557, 434, 428, -44.2478, 231, 0
558, 435, 428, -35.3357, 458, 0
559, 436, 428, -69.9301, 457, 0
560, 437, 428, -54.3478, 471, 0
561, 438, 428, -43.1034, 492, 0
562, 439, 428, -68.9655, 474, 0
563, 429, 466, -58.8235, 320.29, 0
564, 441, 440, -34.8432, 649, 0
565, 442, 440, -22.3714, 267, 0
566, 443, 440, -37.4532, 385, 0
567, 444, 440, -11.1732, 202, 0
568, 446, 445, -277.7778, 130.2, 0
569, 445, 461, -31.4465, 320.29, 0
570, 448, 447, -263.1579, 76.12, 0
571, 450, 449, -303.0303, 1.48, 0
572, 451, 449, -312.5000, 3.29, 0
573, 495, 449, -61.7284, 320.29, 0
574, 454, 453, -32.6797, 634, 0
575, 455, 453, -61.7284, 551, 0
576, 456, 453, -59.8802, 651, 0
577, 485, 454, -50.7614, 320.29, 0
578, 458, 457, -13.8504, 207, 0
579, 459, 496, -52.6316, 320.29, 0
580, 463, 462, -10.4384, 80, 0
581, 462, 465, -31.8471, 320.29, 0
582, 462, 477, -20.7900, 320.29, 0
583, 465, 464, -36.7647, 384, 0
584, 471, 464, -163.9344, 1493.89, 0
585, 470, 467, -66.6667, 320.29, 0
586, 472, 471, -53.4759, 501, 0
587, 476, 486, -41.6667, 320.29, 0
588, 480, 479, -15.8730, 221, 0
589, 481, 479, -18.1818, 160, 0
590, 482, 479, -31.4465, 187, 0
591, 483, 479, -9.9305, 187, 0
592, 484, 479, -18.2149, 140, 0
593, 485, 499, -28.9017, 320.29, 0
594, 500, 489, -23.2019, 320.29, 0
595, 494, 493, -15.5521, 75, 0
596, 497, 496, -15.4560, 204, 0
597, 498, 496, -8.5034, 150, 0
